"","kc.artist_name","kc.artist_id","kc.album_type","kc.album_release_date","kc.album_release_year","kc.album_release_date_precision","kc.danceability","kc.energy","kc.energy.1","kc.key","kc.loudness","kc.mode","kc.speechiness","kc.acousticness","kc.instrumentalness","kc.liveness","kc.liveness.1","kc.valence","kc.tempo","kc.track_id","kc.duration_ms","kc.explicit","kc.is_local","kc.track_name","kc.track_number","kc.type","kc.album_name","kc.key_name","kc.mode_name","kc.key_mode"
"18","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.588,0.901,0.901,7,-4.194,1,0.164,0.00303,0,0.057,0.057,0.712,152.92,"1zv5ce0HHLD90EByNsgBfD",190000,FALSE,FALSE,"Heat",3,"track","Meaning of Life","G","major","G major"
"19","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.601,0.849,0.849,2,-4.583,0,0.0409,0.161,0,0.0963,0.0963,0.604,97.492,"6YWStBSFmmeE5TZJmlUfhB",231013,FALSE,FALSE,"Meaning of Life",4,"track","Meaning of Life","D","minor","D minor"
"20","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.634,0.492,0.492,7,-7.25,1,0.0424,0.0169,3.53e-06,0.351,0.351,0.101,137.981,"3g9rfVxgLrcHEAjnbnulQi",202360,FALSE,FALSE,"Move You",5,"track","Meaning of Life","G","major","G major"
"21","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.838,0.683,0.683,10,-6.205,0,0.146,0.0369,0,0.638,0.638,0.458,119.982,"1nukLnD50ey3rfs6jNnMJa",173386,FALSE,FALSE,"Whole Lotta Woman",6,"track","Meaning of Life","A#","minor","A# minor"
"22","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.82,0.792,0.792,6,-4.523,0,0.0567,0.101,0,0.348,0.348,0.813,123.006,"0gQrcNUTkpoK5LvNmCa2eC",189640,FALSE,FALSE,"Medicine",7,"track","Meaning of Life","F#","minor","F# minor"
"23","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.563,0.506,0.506,0,-4.692,1,0.0316,0.446,0,0.341,0.341,0.503,75.964,"2NqUPA7zYMm4pqJCFRjJfA",185293,FALSE,FALSE,"Cruel",8,"track","Meaning of Life","C","major","C major"
"24","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.701,0.679,0.679,1,-6.652,1,0.0401,0.00987,0,0.131,0.131,0.536,134.88,"7jhCqJlmx37u8o0xo2bjaj",218760,FALSE,FALSE,"Didn't I",9,"track","Meaning of Life","C#","major","C# major"
"25","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.707,0.747,0.747,5,-4.697,0,0.0266,0.068,0,0.109,0.109,0.751,99.948,"3ap3FsiJGIMlXpPpk7e5vQ",178213,FALSE,FALSE,"Would You Call That Love",10,"track","Meaning of Life","F","minor","F minor"
"26","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.481,0.473,0.473,8,-5.844,1,0.0433,0.754,0,0.135,0.135,0.492,133.048,"0LV7IsFZF2rm2CI52uSWra",224213,FALSE,FALSE,"I Don't Think About You",11,"track","Meaning of Life","G#","major","G# major"
"27","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.398,0.471,0.471,8,-8.137,1,0.077,0.191,0,0.413,0.413,0.431,187.746,"6i7ZCerJICjhpbisBz1Lw4",220200,FALSE,FALSE,"Slow Dance",12,"track","Meaning of Life","G#","major","G# major"
"28","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.445,0.554,0.554,7,-5.659,1,0.0572,0.297,0,0.421,0.421,0.319,182.936,"5ScdLNd5y68lR4H2KimJ4d",193826,FALSE,FALSE,"Don't You Pretend",13,"track","Meaning of Life","G","major","G major"
"29","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2017-10-27",2017,"day",0.541,0.606,0.606,5,-5.358,0,0.0369,0.0254,1.19e-05,0.125,0.125,0.706,96.771,"4XbG4UA0ydTkUiEERakFuZ",205093,FALSE,FALSE,"Go High",14,"track","Meaning of Life","F","minor","F minor"
"30","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.491,0.799,0.799,6,-3.66,1,0.0488,0.0137,0,0.0627,0.0627,0.486,149.095,"4WGgAdWVeF0ExmWow9R9XY",198733,FALSE,FALSE,"Heartbeat Song",1,"track","Piece By Piece (Deluxe Version)","F#","major","F# major"
"31","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.477,0.788,0.788,10,-5.472,1,0.0824,0.409,0,0.194,0.194,0.379,138.21,"7mZVWemhwUnhr2q6GYl6T7",238360,FALSE,FALSE,"Invincible",2,"track","Piece By Piece (Deluxe Version)","A#","major","A# major"
"32","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.578,0.651,0.651,8,-6.924,1,0.0424,0.368,0,0.103,0.103,0.0931,127.967,"70on8632PmtkPhed7jLKWN",219880,FALSE,FALSE,"Someone",3,"track","Piece By Piece (Deluxe Version)","G#","major","G# major"
"33","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.462,0.592,0.592,2,-6.5,1,0.0343,0.345,0,0.124,0.124,0.278,130.098,"06nS5cjK4oOImeOAxpWPxw",260200,FALSE,FALSE,"Take You High",4,"track","Piece By Piece (Deluxe Version)","D","major","D major"
"34","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.591,0.808,0.808,1,-6.728,1,0.0408,0.000953,1.55e-06,0.0918,0.0918,0.601,106.03,"4bXGs68kXyKqzDwikLjGWa",257746,FALSE,FALSE,"Piece by Piece",5,"track","Piece By Piece (Deluxe Version)","C#","major","C# major"
"35","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.276,0.367,0.367,8,-6.963,1,0.0342,0.453,0,0.107,0.107,0.079,112.17,"2W04er97VxGmMkan7Md9R5",272693,FALSE,FALSE,"Run Run Run (feat. John Legend)",6,"track","Piece By Piece (Deluxe Version)","G#","major","G# major"
"36","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.47,0.727,0.727,7,-5.45,1,0.0373,0.00135,0,0.206,0.206,0.244,169.989,"77uYk1aSyeMTzUcYEekR92",238920,FALSE,FALSE,"I Had A Dream",7,"track","Piece By Piece (Deluxe Version)","G","major","G major"
"37","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.393,0.903,0.903,0,-5.372,0,0.376,0.0789,0,0.0776,0.0776,0.168,187.789,"4rc2I7LtZj1dNP4GbIluFs",235266,FALSE,FALSE,"Let Your Tears Fall",8,"track","Piece By Piece (Deluxe Version)","C","minor","C minor"
"38","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.446,0.365,0.365,9,-8.381,0,0.0266,0.647,0,0.138,0.138,0.243,73.938,"5ZoWXaa6EjroyFmbQi7prq",212813,FALSE,FALSE,"Tightrope",9,"track","Piece By Piece (Deluxe Version)","A","minor","A minor"
"39","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.712,0.842,0.842,11,-4.096,1,0.0402,0.0112,0,0.0376,0.0376,0.744,127.992,"03ALTasQoYTeYoz1CvMbyU",224360,FALSE,FALSE,"War Paint",10,"track","Piece By Piece (Deluxe Version)","B","major","B major"
"40","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.494,0.837,0.837,7,-5.77,1,0.0611,0.00179,8.04e-06,0.0947,0.0947,0.255,121.029,"5UMQdaY6Rxu1ZrsWwIBnHv",260533,FALSE,FALSE,"Dance With Me",11,"track","Piece By Piece (Deluxe Version)","G","major","G major"
"41","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.749,0.81,0.81,8,-4.816,1,0.0314,0.0223,0,0.297,0.297,0.379,120.041,"78GCltPFAbO2VLFAcBlYEZ",217173,FALSE,FALSE,"Nostalgic",12,"track","Piece By Piece (Deluxe Version)","G#","major","G# major"
"42","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.611,0.765,0.765,1,-6.304,1,0.041,0.0305,0,0.0886,0.0886,0.648,164.98,"0CMMonogoGTabLjzylPese",202840,FALSE,FALSE,"Good Goes The Bye",13,"track","Piece By Piece (Deluxe Version)","C#","major","C# major"
"43","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.561,0.245,0.245,1,-6.372,1,0.0344,0.904,0,0.0933,0.0933,0.402,109.558,"3KbFtYPyVP6C7BQVgH2cCf",212280,FALSE,FALSE,"Piece by Piece - Idol Version",14,"track","Piece By Piece (Deluxe Version)","C#","major","C# major"
"44","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2016-03-04",2016,"day",0.587,0.764,0.764,7,-4.252,1,0.0762,0.159,0,0.242,0.242,0.512,159.943,"6mdbhv7opkIZ2gLYZ1Yn7g",195840,FALSE,FALSE,"Second Wind",15,"track","Piece By Piece (Deluxe Version)","G","major","G major"
