"","ag.artist_name","ag.artist_id","ag.album_type","ag.album_release_date","ag.album_release_year","ag.album_release_date_precision","ag.danceability","ag.energy","ag.energy.1","ag.key","ag.loudness","ag.mode","ag.speechiness","ag.acousticness","ag.instrumentalness","ag.liveness","ag.liveness.1","ag.valence","ag.tempo","ag.track_id","ag.duration_ms","ag.explicit","ag.is_local","ag.track_name","ag.track_number","ag.type","ag.album_name","ag.key_name","ag.mode_name","ag.key_mode"
"211","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.445,0.446,0.446,8,-7.468,0,0.0312,0.599,2.21e-05,0.339,0.339,0.389,90.927,"5bjIUIFNUMlozyqEBXDZVL",229680,FALSE,FALSE,"Leave Me Lonely",8,"track","Dangerous Woman (Edited)","G#","minor","G# minor"
"212","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.63,0.721,0.721,7,-4.51,0,0.0521,0.017,0,0.189,0.189,0.457,130.974,"3pBA0EQ4VRqcD1QrPssXY8",194840,FALSE,FALSE,"Everyday",9,"track","Dangerous Woman (Edited)","G","minor","G minor"
"213","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.397,0.666,0.666,1,-5.383,0,0.248,0.0907,0,0.344,0.344,0.568,77.915,"4dHe56Osr5K4aBmgCqbcWH",226666,FALSE,FALSE,"Sometimes",10,"track","Dangerous Woman (Edited)","C#","minor","C# minor"
"214","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.585,0.401,0.401,5,-8.319,1,0.0412,0.773,0,0.153,0.153,0.232,111.956,"6UgHyHzY3FNS77b5Arz1dD",178026,FALSE,FALSE,"I Don't Care",11,"track","Dangerous Woman (Edited)","F","major","F major"
"215","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.691,0.642,0.642,4,-5.399,0,0.0429,0.0149,0,0.28,0.28,0.814,131.988,"5D5zcG0mwxOtUVNZOR6Xbs",226426,FALSE,FALSE,"Bad Decisions",12,"track","Dangerous Woman (Edited)","E","minor","E minor"
"216","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.536,0.694,0.694,7,-4.369,0,0.0332,0.0303,0,0.183,0.183,0.291,100.906,"4nSnKa3uGjwgNBOLHkujZt",260000,FALSE,FALSE,"Touch It",13,"track","Dangerous Woman (Edited)","G","minor","G minor"
"217","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.484,0.381,0.381,6,-6.705,1,0.0711,0.235,3.6e-06,0.0998,0.0998,0.372,106.65,"1ai66S8551cRfpkVRIUHab",299213,FALSE,FALSE,"Knew Better / Forever Boy",14,"track","Dangerous Woman (Edited)","F#","major","F# major"
"218","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.505,0.704,0.704,11,-6.08,1,0.0584,0.0164,0.000469,0.121,0.121,0.436,102.988,"6ta0UqE7Ga3lYCYJ0EevKI",200400,FALSE,FALSE,"Thinking Bout You",15,"track","Dangerous Woman (Edited)","B","major","B major"
"219","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.662,0.877,0.877,5,-4.185,0,0.112,0.0874,0,0.273,0.273,0.545,110.905,"2k6P0ZpQ0ACLJGts7kruaA",180853,FALSE,FALSE,"Step On Up",16,"track","Dangerous Woman (Edited)","F","minor","F minor"
"220","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.678,0.645,0.645,7,-5.363,0,0.0602,0.432,1.69e-05,0.0774,0.0774,0.56,105.957,"5OjXISPsLJhunmRXtcgp01",264626,FALSE,FALSE,"Jason's Song (Gave It Away)",17,"track","Dangerous Woman (Edited)","G","minor","G minor"
"221","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.626,0.412,0.412,9,-7.339,1,0.0292,0.417,3.55e-06,0.048,0.048,0.209,102.169,"57Z5iMZfiGuZDnn7s9HOVz",202360,FALSE,FALSE,"Moonlight",1,"track","Dangerous Woman","A","major","A major"
"222","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.662,0.602,0.602,4,-5.369,0,0.0401,0.0529,0,0.356,0.356,0.29,133.969,"5nthg9VhYPcR50lm6mW9KR",235946,FALSE,FALSE,"Dangerous Woman",2,"track","Dangerous Woman","E","minor","E minor"
"223","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.813,0.456,0.456,1,-7.667,0,0.0685,0.169,2.85e-06,0.105,0.105,0.587,108.801,"58iduA9VGI3SsxZ5yMWmCu",179293,FALSE,FALSE,"Be Alright",3,"track","Dangerous Woman","C#","minor","C# minor"
"224","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.623,0.734,0.734,9,-5.95,1,0.107,0.0162,1.9e-06,0.145,0.145,0.372,107.853,"4cHgU6PIcI88fxLsgaAnxe",244453,FALSE,FALSE,"Into You",4,"track","Dangerous Woman","A","major","A major"
"225","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.644,0.725,0.725,6,-5.816,0,0.184,0.0415,0,0.165,0.165,0.67,159.172,"7IdrkYM8wuS6cwaSz4EUhU",226160,FALSE,FALSE,"Side To Side",5,"track","Dangerous Woman","F#","minor","F# minor"
"226","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.528,0.435,0.435,2,-8.363,1,0.129,0.0295,0,0.243,0.243,0.0781,102.704,"2dK4zdUu22kirdoRUkGCIo",223853,FALSE,FALSE,"Let Me Love You",6,"track","Dangerous Woman","D","major","D major"
"227","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.62,0.705,0.705,1,-5.335,1,0.0989,0.0323,0,0.092,0.092,0.844,109.974,"75O76rqKzz1k6HxCFOirvQ",214906,FALSE,FALSE,"Greedy",7,"track","Dangerous Woman","C#","major","C# major"
"228","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.445,0.449,0.449,8,-7.472,0,0.0315,0.596,2.34e-05,0.339,0.339,0.374,90.927,"3nhs4xsLIecqfyNgrHVEYm",229680,FALSE,FALSE,"Leave Me Lonely",8,"track","Dangerous Woman","G#","minor","G# minor"
"229","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.631,0.721,0.721,7,-4.51,0,0.0521,0.0168,0,0.189,0.189,0.457,130.975,"4VBCPBcohmreZGjGTfL3VS",194840,FALSE,FALSE,"Everyday",9,"track","Dangerous Woman","G","minor","G minor"
"230","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.394,0.666,0.666,4,-5.383,1,0.25,0.0901,0,0.344,0.344,0.561,77.827,"4o6Qmb9vyU6zHCO8cwXSe4",226666,FALSE,FALSE,"Sometimes",10,"track","Dangerous Woman","E","major","E major"
"231","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.587,0.4,0.4,5,-8.32,1,0.0402,0.772,0,0.153,0.153,0.23,111.972,"6JMlAk5IerpKeQ9A7JZ6LP",178026,FALSE,FALSE,"I Don't Care",11,"track","Dangerous Woman","F","major","F major"
"232","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2016-05-20",2016,"day",0.697,0.643,0.643,4,-5.399,0,0.0427,0.0149,0,0.28,0.28,0.817,131.96,"5Xm8XitGAgQT1y6Dyw3yRQ",226426,FALSE,FALSE,"Bad Decisions",12,"track","Dangerous Woman","E","minor","E minor"
